from,to,weight
Spr,Fri,2
Spr,Mel,2
Spr,Wil,2
Spr,Tru,2
Spr,Fre,3
Spr,Tor,1
Spr,Ste,1
Spr,Will,1
Spr,Syb,4
Spr,Mai,0
Spr,Oma,4
Spr,Leo,1
Fri,Spr,2
Fri,Mel,2
Fri,Wil,2
Fri,Tru,2
Fri,Fre,2
Fri,Tor,1
Fri,Ste,1
Fri,Will,1
Fri,Syb,1
Fri,Mai,3
Fri,Oma,1
Fri,Leo,1
Mel,Spr,2
Mel,Fri,2
Mel,Wil,2
Mel,Tru,2
Mel,Fre,1
Mel,Tor,1
Mel,Ste,1
Mel,Will,3
Mel,Syb,1
Mel,Mai,0
Mel,Oma,1
Mel,Leo,1
Wil,Spr,2
Wil,Fri,2
Wil,Mel,2
Wil,Tru,2
Wil,Fre,1
Wil,Tor,1
Wil,Ste,1
Wil,Will,1
Wil,Syb,1
Wil,Mai,0
Wil,Oma,1
Wil,Leo,3
Tru,Spr,2
Tru,Fri,2
Tru,Mel,2
Tru,Wil,2
Tru,Fre,1
Tru,Tor,1
Tru,Ste,1
Tru,Will,1
Tru,Syb,1
Tru,Mai,0
Tru,Oma,1
Tru,Leo,1
Fre,Spr,3
Fre,Fri,1
Fre,Mel,1
Fre,Wil,1
Fre,Tru,1
Fre,Tor,2
Fre,Ste,2
Fre,Will,2
Fre,Syb,1
Fre,Mai,0
Fre,Oma,1
Fre,Leo,1
Tor,Spr,1
Tor,Fri,1
Tor,Mel,1
Tor,Wil,1
Tor,Tru,1
Tor,Fre,2
Tor,Ste,2
Tor,Will,2
Tor,Syb,1
Tor,Mai,0
Tor,Oma,0
Tor,Leo,1
Ste,Spr,1
Ste,Fri,1
Ste,Mel,1
Ste,Wil,1
Ste,Tru,1
Ste,Fre,2
Ste,Tor,2
Ste,Will,2
Ste,Syb,1
Ste,Mai,0
Ste,Oma,0
Ste,Leo,1
Will,Spr,1
Will,Fri,1
Will,Mel,1
Will,Wil,1
Will,Tru,1
Will,Fre,2
Will,Tor,2
Will,Ste,2
Will,Syb,1
Will,Mai,0
Will,Oma,0
Will,Leo,0
Syb,Spr,4
Syb,Fri,1
Syb,Mel,1
Syb,Wil,1
Syb,Tru,1
Syb,Fre,1
Syb,Tor,1
Syb,Ste,1
Syb,Will,1
Syb,Mai,0
Syb,Oma,4
Syb,Leo,0
Mai,Spr,0
Mai,Fri,2
Mai,Mel,0
Mai,Wil,0
Mai,Tru,0
Mai,Fre,0
Mai,Tor,0
Mai,Ste,0
Mai,Will,0
Mai,Syb,0
Mai,Oma,0
Mai,Leo,0
Oma,Spr,4
Oma,Fri,1
Oma,Mel,1
Oma,Wil,1
Oma,Tru,1
Oma,Fre,1
Oma,Tor,0
Oma,Ste,0
Oma,Will,0
Oma,Syb,4
Oma,Mai,0
Oma,Leo,0
Leo,Spr,1
Leo,Fri,1
Leo,Mel,1
Leo,Wil,3
Leo,Tru,1
Leo,Fre,1
Leo,Tor,1
Leo,Ste,1
Leo,Will,0
Leo,Syb,0
Leo,Mai,0
Leo,Oma,0
